Date,Value
2018-11-15 14,46.933998
2018-11-15 15,51.895998399999996
2018-11-15 16,52.19399940000001
2018-11-15 17,57.567498
2018-11-15 18,67.5959976
2018-11-15 19,66.6299988
2018-11-15 20,68.232498
2018-11-15 21,65.78799799999999
2018-11-15 22,57.999998399999996
2018-11-15 23,54.6279992
2018-11-16 00,55.4174985
2018-11-16 01,57.0379996
2018-11-16 02,56.4419982
2018-11-16 03,45.14499975
2018-11-16 04,46.0439978
2018-11-16 05,31.141999200000004
2018-11-16 06,28.681999400000002
2018-11-16 07,26.17749925
2018-11-16 08,29.112000000000002
2018-11-16 09,29.7559998
2018-11-16 10,26.29499925
2018-11-16 11,25.867999799999996
2018-11-16 12,25.4259998
2018-11-16 13,29.0939996
2018-11-16 14,30.5249995
2018-11-16 15,33.8699998
2018-11-16 16,33.661999800000004
2018-11-16 17,34.4025005
2018-11-16 18,38.7839996
2018-11-16 19,62.329998599999996
2018-11-16 20,73.6699982
2018-11-16 21,74.86749875
2018-11-16 22,79.2859986
2018-11-16 23,69.88249975
2018-11-17 00,69.88999725
2018-11-17 01,69.5859968
2018-11-17 02,61.69199999999999
2018-11-17 03,50.3279984
2018-11-17 04,53.532498249999996
2018-11-17 05,48.409998200000004
2018-11-17 06,52.072000200000005
2018-11-17 07,54.417498249999994
2018-11-17 08,52.43199860000001
2018-11-17 09,51.373999000000005
2018-11-17 10,54.39999859999999
2018-11-17 11,53.924999
2018-11-17 12,50.6899992
2018-11-17 13,38.6779984
2018-11-17 14,33.0374985
2018-11-17 15,32.23
2018-11-17 16,32.433999
2018-11-17 17,34.6574985
2018-11-17 18,32.1249995
2018-11-17 19,37.8999984
2018-11-17 20,47.44199919999999
2018-11-17 21,36.59249875
2018-11-17 22,36.1300004
2018-11-17 23,41.0739988
2018-11-18 00,35.799999400000004
2018-11-18 01,28.44749925
2018-11-18 02,25.7399992
2018-11-18 03,19.165999399999997
2018-11-18 04,26.22249875
2018-11-18 05,39.5739998
2018-11-18 06,45.925998400000005
2018-11-18 07,49.2959984
2018-11-18 08,56.7399995
2018-11-18 09,59.661998800000006
2018-11-18 10,52.6559982
2018-11-18 11,50.36999900000001
2018-11-18 12,50.33599840000001
2018-11-18 13,52.5319994
2018-11-18 14,49.23199820000001
2018-11-18 15,51.28749825
2018-11-18 16,52.4039994
2018-11-18 17,49.2199982
2018-11-18 18,41.834999
